Ёи╫╩й╠╪Д	Ёи╫╩╪ш	╪ш╦Я╠Д╤╞	Ёи╫╩а©(йж)	Ёи╫╩╤Н(т╙)	птжй
15:00:00	7.47	--	0	0	бРел
14:59:59	7.47	--	881	658107	бРел
14:59:56	7.47	0.01	10809	8074323	бРел
14:59:52	7.46	-0.01	259	193214	бТел
14:59:46	7.47	0.01	5464	4081608	бРел
14:59:40	7.46	--	3908	2915368	бРел
14:59:37	7.46	--	758	565468	бРел
14:59:31	7.46	-0.01	2247	1676314	бТел
14:59:26	7.47	--	5775	4313925	бРел
14:59:20	7.47	--	1560	1165320	бРел
14:59:16	7.47	0.01	4489	3353283	бРел
14:59:11	7.46	-0.01	7606	5674076	бТел
14:59:05	7.47	--	1598	1193713	бРел
14:59:01	7.47	--	5675	4239225	бРел
14:58:56	7.47	--	1410	1053270	бРел
14:58:50	7.47	--	1225	915075	бРел
14:58:46	7.47	0.01	2444	1826355	бРел
14:58:42	7.46	-0.01	4701	3506946	бТел
14:58:35	7.47	0.01	704	525888	бРел
14:58:31	7.46	--	1454	1084684	бТел
14:58:26	7.46	--	1691	1261486	бТел
14:58:20	7.46	--	966	720636	бРел
14:58:16	7.46	0.01	2143	1598864	бРел
14:58:11	7.45	-0.01	3190	2376550	бТел
14:58:06	7.46	0.01	1976	1474439	бРел
14:58:01	7.45	--	3194	2379530	бТел
14:57:55	7.45	--	761	566945	бТел
14:57:50	7.45	-0.01	624	464880	бТел
14:57:46	7.46	0.01	9636	7188567	бРел
14:57:40	7.45	0.01	1809	1347705	бРел
14:57:34	7.44	--	6525	4854600	бТел
14:57:31	7.44	--	4347	3234257	бТел
14:57:25	7.44	--	2752	2047488	бТел
14:57:19	7.44	--	1310	974640	бТел
14:57:16	7.44	-0.01	2842	2114448	бТел
14:57:10	7.45	0.01	1843	1373035	бРел
14:57:06	7.44	-0.01	926	688944	бТел
14:57:01	7.45	0.01	2294	1709447	бРел
14:56:55	7.44	--	6259	4656696	бТел
14:56:49	7.44	--	952	708288	бТел
14:56:46	7.44	-0.01	2229	1658376	бТел
14:56:40	7.45	0.01	2983	2222335	бРел
14:56:36	7.44	--	1968	1464318	бТел
14:56:31	7.44	--	2292	1705248	бТел
14:56:25	7.44	--	1492	1110048	бТел
14:56:20	7.44	-0.01	1235	918840	бТел
14:56:16	7.45	--	2170	1616650	бРел
14:56:10	7.45	--	1294	964030	бРел
14:56:05	7.45	0.01	575	428591	бРел
14:56:01	7.44	-0.02	8497	6322482	бТел
14:55:55	7.46	0.01	5251	3917246	бРел
14:55:50	7.45	-0.01	2095	1560775	бТел
14:55:46	7.46	0.01	1053	785538	бРел
14:55:40	7.45	-0.01	3214	2394430	бТел
14:55:34	7.46	--	1139	849694	бРел
14:55:31	7.46	--	2985	2226810	бРел
14:55:25	7.46	--	1155	861630	бРел
14:55:21	7.46	-0.01	3514	2621444	бТел
14:55:16	7.47	--	4268	3188606	бРел
14:55:10	7.47	--	3145	2349315	бРел
14:55:04	7.47	0.01	4251	3175497	бРел
14:55:01	7.46	-0.01	1765	1316690	бТел
14:54:55	7.47	0.01	2394	1788318	бРел
14:54:49	7.46	--	1665	1242090	бТел
14:54:45	7.46	--	1491	1112286	бТел
14:54:40	7.46	0.01	4422	3298812	бРел
14:54:34	7.45	-0.01	1039	774055	бТел
14:54:31	7.46	0.01	1624	1211504	бРел
14:54:25	7.45	--	1565	1166401	бТел
14:54:21	7.45	--	604	449980	бТел
14:54:16	7.45	--	1130	842483	бРел
14:54:10	7.45	--	4779	3560399	бРел
14:54:04	7.45	--	3749	2793005	бРел
14:54:01	7.45	--	2639	1966055	бРел
14:53:55	7.45	0.01	2929	2182105	бРел
14:53:49	7.44	--	2364	1758816	бТел
14:53:46	7.44	--	845	628680	бТел
14:53:40	7.44	-0.01	2159	1606296	бТел
14:53:35	7.45	0.01	3331	2482235	бРел
14:53:31	7.44	0.01	851	633144	бРел
14:53:25	7.43	--	1122	833646	бТел
14:53:20	7.43	--	1052	781636	бТел
14:53:16	7.43	--	10252	7617236	бРел
14:53:10	7.43	--	547	406421	бРел
14:53:04	7.43	0.01	804	597617	бРел
14:53:01	7.42	-0.01	386	286412	бТел
14:52:55	7.43	0.01	1923	1428789	бРел
14:52:49	7.42	0.01	4525	3357550	бРел
14:52:45	7.41	-0.01	853	632073	бТел
14:52:40	7.42	--	609	451878	бТел
14:52:34	7.42	--	964	715288	бРел
14:52:28	7.42	--	402	298284	бРел
14:52:25	7.42	--	2655	1970010	бТел
14:52:19	7.42	--	2466	1829772	бТел
14:52:13	7.42	--	670	497140	бТел
14:52:10	7.42	0.01	1469	1089998	жпптел
14:52:04	7.41	-0.01	2765	2049213	бТел
14:51:59	7.42	0.01	1980	1469160	бРел
14:51:55	7.41	-0.01	4784	3544944	бТел
14:51:50	7.42	0.01	2590	1921780	бРел
14:51:43	7.41	--	2073	1536093	бТел
14:51:40	7.41	--	968	717288	бТел
14:51:34	7.41	0.01	5533	4100508	бРел
14:51:28	7.4	--	794	587560	бТел
14:51:25	7.4	--	542	401080	бТел
14:51:20	7.4	0.01	11339	8390860	бРел
14:51:14	7.39	--	983	726437	бТел
14:51:10	7.39	--	1098	811422	бТел
14:51:04	7.39	-0.01	1265	935078	бТел
14:50:58	7.4	0.01	956	707625	бРел
14:50:55	7.39	0.01	803	593417	бРел
14:50:49	7.38	--	2730	2014740	бТел
14:50:44	7.38	-0.01	552	407376	бТел
14:50:40	7.39	0.01	3157	2333023	бРел
14:50:34	7.38	-0.01	1595	1177368	бТел
14:50:30	7.39	--	3575	2641925	бРел
14:50:25	7.39	--	999	738261	бРел
14:50:19	7.39	--	830	613370	бРел
14:50:13	7.39	0.01	424	313336	бРел
14:50:10	7.38	--	1600	1180800	бТел
14:50:03	7.38	--	743	548976	бТел
14:49:58	7.38	-0.01	130	95940	бТел
14:49:55	7.39	0.02	975	720525	бРел
14:49:49	7.37	--	2790	2056230	бТел
14:49:43	7.37	-0.01	429	316313	бТел
14:49:40	7.38	0.01	494	364572	бРел
14:49:34	7.37	--	431	317890	бТел
14:49:28	7.37	--	578	425986	бТел
14:49:25	7.37	--	481	354497	бРел
14:49:19	7.37	0.01	687	506319	бТел
