Ёи╫╩й╠╪Д	Ёи╫╩╪ш	╪ш╦Я╠Д╤╞	Ёи╫╩а©(йж)	Ёи╫╩╤Н(т╙)	птжй
15:00:00	5.42	--	0	0	бТел
15:00:00	5.42	-0.01	222	120324	бТел
14:59:59	5.43	0.01	54	29322	бРел
14:59:53	5.42	--	73	39566	бТел
14:59:47	5.42	--	185	100270	бТел
14:59:44	5.42	--	1222	662324	бРел
14:59:38	5.42	0.01	279	151218	бРел
14:59:32	5.41	--	699	378159	бТел
14:59:29	5.41	-0.01	11	5951	бТел
14:59:23	5.42	--	91	49322	бРел
14:59:17	5.42	--	541	293222	бРел
14:59:14	5.42	--	81	43902	бРел
14:59:08	5.42	--	420	227640	бРел
14:59:02	5.42	--	1482	803244	бРел
14:58:59	5.42	0.01	32	17344	бРел
14:58:53	5.41	--	54	29214	бТел
14:58:47	5.41	--	681	368421	бТел
14:58:44	5.41	-0.01	119	64379	бТел
14:58:38	5.42	0.01	162	87804	бРел
14:58:32	5.41	-0.01	269	145529	бТел
14:58:29	5.42	--	51	27642	бРел
14:58:23	5.42	--	1202	651484	бРел
14:58:17	5.42	0.01	138	74796	бРел
14:58:13	5.41	--	55	29755	бТел
14:58:08	5.41	-0.01	133	71953	бТел
14:58:02	5.42	0.01	98	53116	бРел
14:57:58	5.41	-0.01	9	4869	бТел
14:57:53	5.42	0.01	35	18970	бРел
14:57:47	5.41	--	10	5410	бТел
14:57:43	5.41	--	100	54100	бТел
14:57:38	5.41	--	279	150939	бТел
14:57:32	5.41	--	201	108741	бТел
14:57:28	5.41	-0.01	16	8656	бТел
14:57:23	5.42	0.02	92	49864	бРел
14:57:17	5.4	--	378	204120	бТел
14:57:13	5.4	-0.01	47	25380	бТел
14:57:08	5.41	--	43	23263	бРел
14:57:02	5.41	--	170	91970	бРел
14:56:58	5.41	--	150	81150	бРел
14:56:53	5.41	--	456	246696	бРел
14:56:47	5.41	--	308	166628	бРел
14:56:43	5.41	--	213	115233	бТел
14:56:38	5.41	--	42	22722	бТел
14:56:32	5.41	0.01	12	6492	жпптел
14:56:28	5.4	-0.01	232	125280	бТел
14:56:23	5.41	--	420	227220	бРел
14:56:17	5.41	--	179	96839	бРел
14:56:13	5.41	--	123	66543	бРел
14:56:08	5.41	0.01	1479	800139	бРел
14:56:02	5.4	-0.01	44	23760	бТел
14:55:58	5.41	0.01	7	3787	бРел
14:55:53	5.4	--	1417	765180	бТел
14:55:47	5.4	-0.01	55	29700	бТел
14:55:43	5.41	--	20	10820	бРел
14:55:38	5.41	--	62	33542	бРел
14:55:32	5.41	--	47	25427	бРел
14:55:23	5.41	--	75	40575	бРел
14:55:17	5.41	0.01	1	541	бРел
14:55:13	5.4	-0.01	17	9180	бТел
14:55:08	5.41	0.01	71	38411	бРел
14:55:02	5.4	-0.01	172	92880	бТел
14:54:57	5.41	--	99	53559	бРел
14:54:53	5.41	--	15	8115	бРел
14:54:47	5.41	0.01	221	119561	бРел
14:54:41	5.4	-0.01	325	175500	бТел
14:54:38	5.41	0.01	109	58969	бРел
14:54:32	5.4	-0.01	276	149040	бТел
14:54:28	5.41	0.01	10	5410	бРел
14:54:23	5.4	-0.01	497	268380	бТел
14:54:17	5.41	--	225	121725	бРел
14:54:11	5.41	0.01	48	25968	бРел
14:54:02	5.4	-0.01	285	153900	бТел
14:53:56	5.41	0.01	167	90347	бРел
14:53:53	5.4	--	21	11340	бТел
14:53:47	5.4	--	59	31860	бТел
14:53:41	5.4	--	5	2700	бТел
14:53:38	5.4	--	10	5400	бТел
14:53:32	5.4	--	384	207360	бРел
14:53:26	5.4	--	102	55080	бРел
14:53:23	5.4	0.01	61	32940	бРел
14:53:17	5.39	-0.01	61	32879	бТел
14:53:11	5.4	--	443	239220	бРел
14:53:08	5.4	--	4	2160	бРел
14:53:02	5.4	--	1378	744120	бРел
14:52:56	5.4	--	62	33480	бРел
14:52:47	5.4	--	260	140400	бРел
14:52:41	5.4	--	113	61020	бРел
14:52:38	5.4	--	55	29700	бРел
14:52:32	5.4	--	8	4320	бРел
14:52:26	5.4	--	71	38340	бРел
14:52:23	5.4	--	81	43740	бРел
14:52:17	5.4	--	106	57240	бРел
14:52:11	5.4	--	79	42660	бРел
14:52:08	5.4	--	61	32940	бРел
14:52:02	5.4	--	116	62640	бРел
14:51:56	5.4	--	150	81000	бРел
14:51:53	5.4	0.01	51	27540	бРел
14:51:47	5.39	-0.01	136	73304	бТел
14:51:41	5.4	--	205	110700	бРел
14:51:37	5.4	--	25	13500	бРел
14:51:32	5.4	0.01	14	7560	бРел
14:51:26	5.39	-0.01	258	139062	бТел
14:51:22	5.4	--	1004	542160	бТел
14:51:17	5.4	--	110	59400	бТел
14:51:11	5.4	--	125	67500	бТел
14:51:07	5.4	-0.01	265	143100	бТел
14:51:02	5.41	0.01	35	18935	бРел
14:50:56	5.4	--	33	17820	бТел
14:50:47	5.4	--	112	60480	бТел
14:50:41	5.4	--	50	27000	бТел
14:50:37	5.4	--	3	1620	бТел
14:50:32	5.4	--	69	37260	бТел
14:50:26	5.4	-0.01	131	70740	бТел
14:50:22	5.41	--	26	14066	бРел
14:50:17	5.41	0.01	55	29755	бРел
14:50:11	5.4	--	38	20520	бТел
14:50:02	5.4	-0.01	1	540	бТел
14:49:56	5.41	0.01	20	10820	бРел
14:49:52	5.4	-0.01	130	70200	бТел
14:49:47	5.41	0.01	20	10820	бРел
