Ёи╫╩й╠╪Д	Ёи╫╩╪ш	╪ш╦Я╠Д╤╞	Ёи╫╩а©(йж)	Ёи╫╩╤Н(т╙)	птжй
15:00:00	5.99	--	0	0	бТел
15:00:00	5.99	-0.01	0	0	бТел
15:00:00	6.0	0.01	68	40800	бРел
14:59:58	5.99	--	601	359999	бТел
14:59:53	5.99	--	98	58702	бТел
14:59:47	5.99	--	293	175507	бТел
14:59:43	5.99	--	186	111414	бТел
14:59:38	5.99	-0.01	90	53910	бТел
14:59:32	6.0	0.01	505	303000	бРел
14:59:28	5.99	--	211	126826	бРел
14:59:23	5.99	--	143	85818	бТел
14:59:17	5.99	--	368	220869	бРел
14:59:13	5.99	0.01	474	283926	бРел
14:59:08	5.98	-0.01	258	154284	бТел
14:59:02	5.99	0.01	256	153344	бРел
14:58:58	5.98	-0.01	278	166244	бТел
14:58:53	5.99	0.01	2163	1295637	бРел
14:58:47	5.98	--	81	48438	бТел
14:58:43	5.98	--	847	506506	бТел
14:58:38	5.98	-0.01	129	77142	бТел
14:58:32	5.99	0.01	774	463626	бРел
14:58:28	5.98	-0.01	240	143520	жпптел
14:58:23	5.99	0.01	702	420498	бРел
14:58:17	5.98	--	324	193752	бРел
14:58:13	5.98	--	384	229632	бТел
14:58:08	5.98	--	268	160264	бТел
14:58:02	5.98	--	179	107042	бТел
14:57:56	5.98	--	370	221260	бРел
14:57:53	5.98	--	77	46046	бРел
14:57:47	5.98	--	1434	857532	бТел
14:57:41	5.98	--	51	30498	бТел
14:57:38	5.98	--	240	143520	бТел
14:57:32	5.98	-0.01	495	296596	бТел
14:57:26	5.99	0.01	506	303094	бРел
14:57:23	5.98	--	143	85514	бТел
14:57:17	5.98	--	730	436540	бРел
14:57:11	5.98	--	394	235612	бТел
14:57:08	5.98	--	212	126776	бТел
14:57:02	5.98	-0.01	133	79534	бТел
14:56:56	5.99	0.01	564	337836	бРел
14:56:53	5.98	-0.01	105	62790	бТел
14:56:47	5.99	--	277	165923	бРел
14:56:41	5.99	0.01	503	301297	бРел
14:56:37	5.98	--	42	25116	бТел
14:56:32	5.98	--	178	106444	бТел
14:56:26	5.98	--	309	184782	бТел
14:56:22	5.98	--	80	47840	бТел
14:56:17	5.98	--	583	348634	бТел
14:56:11	5.98	--	148	88504	бТел
14:56:07	5.98	-0.01	40	23920	бТел
14:56:02	5.99	0.01	71	42529	бРел
14:55:56	5.98	--	215	128570	бТел
14:55:52	5.98	--	1586	948428	бРел
14:55:47	5.98	0.01	497	297206	бТел
14:55:41	5.97	-0.02	1196	714012	бТел
14:55:37	5.99	0.02	97	58103	бРел
14:55:32	5.97	-0.01	241	143877	бТел
14:55:26	5.98	--	833	498134	бРел
14:55:22	5.98	0.01	57	34086	бРел
14:55:17	5.97	-0.01	226	134922	бТел
14:55:11	5.98	--	436	260728	бРел
14:55:07	5.98	--	202	120796	бТел
14:55:02	5.98	--	1036	619528	бТел
14:54:56	5.98	--	871	520858	бТел
14:54:52	5.98	--	1385	828230	бРел
14:54:47	5.98	0.01	212	126776	бРел
14:54:41	5.97	--	175	104475	бТел
14:54:37	5.97	--	120	71640	бТел
