Ёи╫╩й╠╪Д	Ёи╫╩╪ш	╪ш╦Я╠Д╤╞	Ёи╫╩а©(йж)	Ёи╫╩╤Н(т╙)	птжй
15:00:00	3.38	--	0	0	бРел
15:00:00	3.38	0.01	33	11154	бРел
14:59:59	3.37	-0.01	215	72455	бТел
14:59:56	3.38	--	2351	794638	бРел
14:59:51	3.38	--	1719	581022	бРел
14:59:46	3.38	--	198	66924	бРел
14:59:41	3.38	--	715	241670	бРел
14:59:36	3.38	--	729	246402	бРел
14:59:31	3.38	--	245	82810	бРел
14:59:26	3.38	--	410	138580	бРел
14:59:21	3.38	--	147	49686	бРел
14:59:16	3.38	--	18	6084	бРел
14:59:11	3.38	--	387	130806	бРел
14:59:06	3.38	--	208	70304	бРел
14:59:01	3.38	--	356	120328	бРел
14:58:56	3.38	--	320	108160	бРел
14:58:51	3.38	--	430	145340	бРел
14:58:46	3.38	--	1127	380926	бРел
14:58:41	3.38	--	29	9802	бРел
14:58:36	3.38	0.01	147	49686	бРел
14:58:31	3.37	-0.01	40	13480	бТел
14:58:26	3.38	--	200	67600	бРел
14:58:21	3.38	--	1138	384644	бРел
14:58:15	3.38	--	500	169000	бРел
14:58:11	3.38	--	23	7774	бРел
14:58:06	3.38	0.01	466	157508	бРел
14:58:00	3.37	-0.01	10	3370	бТел
14:57:56	3.38	--	479	161902	бРел
14:57:51	3.38	--	1227	414726	бРел
14:57:45	3.38	--	133	44954	бРел
14:57:41	3.38	--	2748	928824	бРел
14:57:36	3.38	--	301	101738	бРел
14:57:30	3.38	--	193	65234	бРел
14:57:26	3.38	0.01	350	118300	бРел
14:57:21	3.37	-0.01	108	36396	бТел
14:57:15	3.38	--	109	36842	бРел
14:57:11	3.38	--	1137	384306	бРел
14:57:06	3.38	--	460	155480	бРел
14:57:00	3.38	--	212	71656	бРел
14:56:56	3.38	--	205	69290	бРел
14:56:51	3.38	--	428	144664	бРел
14:56:45	3.38	0.01	3	1014	бРел
14:56:41	3.37	-0.01	190	64030	бТел
14:56:36	3.38	--	493	166634	бРел
14:56:30	3.38	--	8174	2762812	бРел
14:56:26	3.38	0.01	132	44616	бРел
14:56:21	3.37	-0.01	757	255109	бТел
14:56:15	3.38	0.01	171	57798	бРел
14:56:11	3.37	--	205	69085	бТел
14:56:06	3.37	-0.01	20015	6745055	бТел
14:56:00	3.38	--	239	80782	бРел
14:55:56	3.38	0.01	13392	4526496	бРел
14:55:50	3.37	--	197	66389	бТел
14:55:45	3.37	-0.01	110	37070	бТел
14:55:41	3.38	--	917	309946	бРел
14:55:35	3.38	0.01	357	120666	бРел
14:55:30	3.37	--	6	2022	бТел
14:55:26	3.37	--	151	50887	бТел
14:55:20	3.37	--	462	155694	бТел
14:55:15	3.37	--	356	119972	бТел
14:55:11	3.37	--	1005	338685	бТел
14:55:05	3.37	-0.01	46	15502	бТел
14:55:00	3.38	0.01	12	4056	бРел
14:54:50	3.37	--	3465	1167705	бТел
14:54:45	3.37	-0.01	729	245673	бТел
14:54:40	3.38	--	961	324818	бРел
14:54:35	3.38	0.01	441	149058	бРел
14:54:30	3.37	--	2571	866427	бТел
14:54:25	3.37	-0.01	100	33700	бТел
14:54:20	3.38	--	324	109512	бРел
14:54:15	3.38	0.01	32	10816	бРел
14:54:10	3.37	--	2094	705678	бТел
14:54:05	3.37	--	475	160075	бТел
14:54:00	3.37	-0.01	1129	380473	бТел
14:53:55	3.38	--	286	96668	бРел
14:53:50	3.38	0.01	356	120328	бРел
14:53:45	3.37	-0.01	323	108851	бТел
14:53:40	3.38	0.01	84	28392	бРел
14:53:35	3.37	-0.01	254	85598	бТел
14:53:30	3.38	--	659	222742	бРел
14:53:25	3.38	--	26	8788	бРел
14:53:20	3.38	0.01	145	49010	бРел
14:53:15	3.37	-0.01	1135	382495	бТел
14:53:10	3.38	--	101	34138	бРел
14:53:05	3.38	--	38	12844	бРел
14:53:00	3.38	--	1191	402558	бРел
14:52:55	3.38	--	502	169676	бРел
14:52:50	3.38	--	379	128102	бРел
14:52:45	3.38	--	318	107484	бРел
14:52:40	3.38	--	1	338	бРел
14:52:35	3.38	--	462	156156	бРел
14:52:30	3.38	--	36	12168	бРел
14:52:25	3.38	--	28	9464	бРел
14:52:15	3.38	--	1240	419120	бРел
14:52:10	3.38	--	10	3380	бРел
14:52:05	3.38	0.01	11	3718	бРел
14:52:00	3.37	-0.01	739	249043	бТел
14:51:54	3.38	--	1393	470834	бРел
14:51:50	3.38	--	577	195026	бРел
14:51:45	3.38	--	995	336310	бРел
14:51:39	3.38	--	135	45630	бРел
14:51:35	3.38	--	210	70980	бРел
14:51:30	3.38	--	120	40560	бРел
14:51:20	3.38	0.01	2105	711490	бРел
14:51:15	3.37	--	1300	438100	бТел
14:51:09	3.37	-0.01	686	231182	бТел
14:51:05	3.38	--	6088	2057744	бРел
14:51:00	3.38	0.01	619	209222	бРел
14:50:54	3.37	--	1	337	бТел
14:50:50	3.37	-0.01	984	331608	бТел
14:50:45	3.38	0.01	37	12506	бРел
14:50:39	3.37	--	175	58975	бТел
14:50:35	3.37	-0.01	54	18198	бТел
14:50:30	3.38	--	50	16900	бРел
14:50:20	3.38	--	1755	593416	бРел
14:50:15	3.38	--	528	178464	бРел
14:50:09	3.38	--	257	86866	бРел
14:50:05	3.38	--	48	16224	бРел
14:50:00	3.38	0.01	67	22646	бРел
14:49:54	3.37	--	199	67063	бТел
14:49:50	3.37	--	93	31341	бТел
14:49:44	3.37	-0.01	222	74814	бТел
14:49:39	3.38	0.01	81	27378	бРел
14:49:35	3.37	--	2294	773078	бТел
14:49:29	3.37	--	2093	705341	бТел
14:49:24	3.37	-0.01	32	10784	бТел
14:49:20	3.38	--	30	10140	бРел
14:49:14	3.38	0.01	2	676	бРел
14:49:09	3.37	-0.01	30	10110	бТел
14:49:05	3.38	0.01	485	163930	бРел
14:48:59	3.37	--	7060	2379220	бТел
14:48:50	3.37	-0.01	192	64704	бТел
14:48:44	3.38	0.01	2355	795990	бРел
14:48:39	3.37	-0.01	4252	1432924	бТел
14:48:34	3.38	--	41	13858	бРел
14:48:24	3.38	0.01	362	122356	бРел
14:48:14	3.37	--	76	25612	бТел
14:48:09	3.37	-0.01	1815	611655	бТел
14:48:04	3.38	--	15	5070	бРел
14:47:59	3.38	--	150	50700	бРел
14:47:54	3.38	--	234	79092	бРел
14:47:44	3.38	--	292	98696	бРел
14:47:39	3.38	--	79	26702	бРел
14:47:34	3.38	0.01	20	6760	бРел
14:47:29	3.37	-0.01	2166	730127	бТел
14:47:24	3.38	--	51	17238	бРел
14:47:19	3.38	--	10	3380	бРел
14:47:14	3.38	--	303	102414	бРел
14:47:09	3.38	--	50	16900	бРел
14:47:04	3.38	--	72	24336	бРел
14:46:59	3.38	--	152	51376	бРел
14:46:54	3.38	--	93	31434	бРел
14:46:49	3.38	--	354	119652	бРел
14:46:44	3.38	--	3477	1175226	бРел
14:46:39	3.38	0.01	164	55432	бРел
14:46:34	3.37	-0.01	200	67400	бТел
14:46:29	3.38	--	181	61178	бРел
14:46:24	3.38	0.01	167	56446	бРел
14:46:19	3.37	-0.01	89	29993	бТел
14:46:14	3.38	--	17	5746	бРел
14:46:09	3.38	0.01	8850	2991300	бРел
14:46:04	3.37	-0.01	3159	1064583	бТел
14:45:59	3.38	--	379	128102	бРел
14:45:54	3.38	--	254	85852	бРел
14:45:49	3.38	--	92	31096	бРел
14:45:44	3.38	--	72	24572	бРел
14:45:39	3.38	--	112	37856	бРел
14:45:33	3.38	--	17	5746	бРел
14:45:29	3.38	0.01	2954	998452	бРел
14:45:24	3.37	-0.01	5	1685	бТел
14:45:18	3.38	--	303	102414	бРел
14:45:14	3.38	--	247	83486	бРел
14:45:09	3.38	--	7	2366	бРел
14:45:03	3.38	--	83	28054	бРел
14:44:59	3.38	0.01	1	338	бРел
14:44:54	3.37	-0.01	6	2022	бТел
14:44:48	3.38	0.01	334	112892	бРел
14:44:44	3.37	-0.01	1	337	бТел
14:44:39	3.38	--	16	5408	бРел
