Ёи╫╩й╠╪Д	Ёи╫╩╪ш	╪ш╦Я╠Д╤╞	Ёи╫╩а©(йж)	Ёи╫╩╤Н(т╙)	птжй
15:00:00	7.02	--	0	0	бТел
15:00:00	7.02	-0.01	0	0	бТел
14:59:59	7.03	0.01	487	342361	бРел
14:59:53	7.02	--	460	322920	бРел
14:59:50	7.02	--	3642	2556684	бТел
14:59:44	7.02	--	3195	2242890	бТел
14:59:39	7.02	--	1472	1033343	бТел
14:59:35	7.02	--	600	421200	бТел
14:59:29	7.02	--	393	275886	бТел
14:59:24	7.02	--	92	64583	бТел
14:59:21	7.02	--	734	515267	бТел
14:59:15	7.02	--	384	269568	бТел
14:59:09	7.02	--	308	216216	бТел
14:59:05	7.02	0.01	2740	1924132	бРел
14:59:00	7.01	--	1316	922516	бТел
14:58:53	7.01	-0.01	1095	767595	бТел
14:58:50	7.02	0.01	1531	1074762	бРел
14:58:45	7.01	--	289	202589	бТел
14:58:38	7.01	--	234	164034	бТел
14:58:35	7.01	--	363	254463	бТел
14:58:29	7.01	--	390	273390	бТел
14:58:23	7.01	-0.01	5155	3613655	бТел
14:58:20	7.02	--	1650	1158300	бРел
14:58:15	7.02	0.01	4850	3404700	бРел
14:58:09	7.01	-0.01	237	166137	бТел
14:58:05	7.02	--	668	468936	бРел
14:58:00	7.02	0.01	613	430326	бРел
14:57:54	7.01	--	795	557295	бТел
14:57:50	7.01	--	3072	2153472	бТел
14:57:45	7.01	--	162	113562	бТел
14:57:39	7.01	-0.01	651	456351	бТел
14:57:35	7.02	0.01	470	329940	бРел
14:57:29	7.01	--	2151	1507851	бРел
14:57:24	7.01	--	1305	914805	бРел
14:57:20	7.01	-0.01	2048	1435648	бТел
14:57:15	7.02	0.01	588	412776	бРел
14:57:09	7.01	--	70	49070	бТел
14:57:05	7.01	--	6302	4417702	бТел
14:57:00	7.01	--	647	453547	бТел
14:56:54	7.01	--	282	197682	бТел
14:56:50	7.01	-0.01	2165	1517665	бТел
14:56:45	7.02	0.01	656	460512	бРел
14:56:39	7.01	--	187	131087	бТел
14:56:34	7.01	--	257	180157	бТел
14:56:29	7.01	--	589	412889	бТел
14:56:23	7.01	0.01	729	511029	бРел
14:56:20	7.0	-0.01	817	571900	бТел
14:56:15	7.01	0.01	1100	771100	бРел
14:56:08	7.0	-0.01	399	279300	бТел
14:56:05	7.01	--	761	533461	бРел
14:56:00	7.01	--	1460	1023460	бРел
14:55:54	7.01	--	1765	1237265	бРел
14:55:50	7.01	--	1405	984905	бРел
14:55:44	7.01	--	930	651930	бРел
14:55:39	7.01	--	149	104449	бРел
14:55:35	7.01	0.01	3250	2278250	бРел
14:55:29	7.0	-0.01	290	203000	бТел
14:55:24	7.01	0.01	323	226423	бРел
14:55:20	7.0	-0.01	893	625100	бТел
14:55:14	7.01	0.01	466	326666	бРел
14:55:09	7.0	-0.01	598	418600	бТел
14:55:05	7.01	--	62	43462	бРел
14:54:59	7.01	0.01	836	586036	бРел
14:54:52	7.0	--	473	331100	бТел
14:54:49	7.0	--	141	98700	бТел
14:54:44	7.0	--	1966	1376200	бТел
14:54:38	7.0	--	355	248500	бТел
14:54:32	7.0	-0.01	330	231000	бТел
14:54:29	7.01	--	147	103047	бРел
14:54:24	7.01	0.01	63	44163	бРел
14:54:17	7.0	-0.01	145	101500	бТел
14:54:14	7.01	--	144	100944	бРел
