Ёи╫╩й╠╪Д	Ёи╫╩╪ш	╪ш╦Я╠Д╤╞	Ёи╫╩а©(йж)	Ёи╫╩╤Н(т╙)	птжй
15:00:00	5.42	0.01	0	0	бРел
15:00:00	5.41	--	1	541	бТел
14:59:58	5.41	--	35	18935	бТел
14:59:55	5.41	-0.01	314	169874	бТел
14:59:52	5.42	-0.01	1021	553382	бТел
14:59:49	5.43	0.01	60	32580	бРел
14:59:46	5.42	--	80	43360	бТел
14:59:43	5.42	--	63	34146	бТел
14:59:40	5.42	--	585	317070	бТел
14:59:37	5.42	--	127	68834	бТел
14:59:34	5.42	--	140	75880	бРел
14:59:31	5.42	--	15	8130	бРел
14:59:28	5.42	-0.01	112	60704	жпптел
14:59:25	5.43	0.01	186	100998	бРел
14:59:22	5.42	--	323	175066	бТел
14:59:19	5.42	-0.01	225	121950	бТел
14:59:16	5.43	--	174	94482	бРел
14:59:13	5.43	0.01	94	51042	бРел
14:59:10	5.42	-0.01	8	4336	бТел
14:59:07	5.43	--	25	13575	бРел
14:59:04	5.43	0.01	46	24978	бРел
14:59:01	5.42	-0.01	1	542	бТел
14:58:58	5.43	--	22	11946	бРел
14:58:55	5.43	0.01	223	121089	бРел
14:58:52	5.42	-0.01	1001	542542	бТел
14:58:46	5.43	0.01	12	6516	бРел
14:58:43	5.42	--	27	14634	бТел
14:58:40	5.42	-0.01	29	15718	бТел
14:58:37	5.43	0.01	3	1629	бРел
14:58:34	5.42	--	7	3794	бТел
14:58:31	5.42	--	65	35230	бТел
14:58:28	5.42	-0.01	45	24390	бТел
14:58:25	5.43	0.01	8	4344	бРел
14:58:22	5.42	-0.01	201	108942	бТел
14:58:19	5.43	0.01	905	491415	бРел
14:58:16	5.42	--	121	65582	бТел
14:58:13	5.42	-0.01	11	5962	бТел
14:58:10	5.43	0.01	61	33123	бРел
14:58:07	5.42	-0.01	219	118698	бТел
14:58:04	5.43	--	46	24978	бРел
14:58:01	5.43	0.01	6	3258	бРел
