Ёи╫╩й╠╪Д	Ёи╫╩╪ш	╪ш╦Я╠Д╤╞	Ёи╫╩а©(йж)	Ёи╫╩╤Н(т╙)	птжй
15:00:00	5.97	-0.01	0	0	бТел
15:00:00	5.98	--	0	0	бРел
15:00:00	5.98	0.01	85	50830	бРел
14:59:55	5.97	--	262	156414	бТел
14:59:51	5.97	--	369	220293	бТел
14:59:46	5.97	--	13	7761	бТел
14:59:40	5.97	--	375	223875	бТел
14:59:36	5.97	--	881	525957	бРел
14:59:31	5.97	--	120	71640	бРел
14:59:25	5.97	--	46	27462	бРел
14:59:21	5.97	--	520	310440	бТел
14:59:16	5.97	--	116	69252	бТел
14:59:10	5.97	-0.01	18	10746	бТел
14:59:06	5.98	0.01	147	87906	бРел
14:59:01	5.97	--	681	406557	бТел
14:58:55	5.97	--	51	30447	бТел
14:58:51	5.97	--	69	41193	бТел
14:58:46	5.97	0.01	593	354021	бРел
14:58:40	5.96	-0.01	320	190720	бТел
14:58:36	5.97	--	1954	1166538	бРел
14:58:31	5.97	0.01	1398	834606	бРел
14:58:25	5.96	--	66	39395	бТел
14:58:21	5.96	-0.01	64	38144	бТел
14:58:16	5.97	--	1624	969528	бРел
14:58:10	5.97	0.01	329	196413	бРел
14:58:06	5.96	--	193	115028	бТел
14:58:01	5.96	--	109	64964	бТел
14:57:55	5.96	--	24	14304	бТел
14:57:51	5.96	--	74	44104	бТел
14:57:46	5.96	--	53	31588	бТел
14:57:40	5.96	--	32	19072	бТел
14:57:36	5.96	--	144	85824	бРел
14:57:31	5.96	--	129	76884	бТел
14:57:25	5.96	--	60	35760	бТел
14:57:21	5.96	--	284	169264	бТел
14:57:16	5.96	--	561	334356	бТел
14:57:10	5.96	--	30	17880	бТел
14:57:06	5.96	--	454	270584	бТел
14:57:01	5.96	--	108	64368	бТел
14:56:55	5.96	0.01	25	14900	бТел
14:56:51	5.95	-0.01	134	79730	бТел
14:56:46	5.96	--	720	429120	бРел
14:56:40	5.96	--	620	369520	бРел
14:56:36	5.96	--	85	50660	бРел
14:56:31	5.96	0.01	122	72712	бРел
14:56:21	5.95	-0.01	760	452200	бТел
14:56:15	5.96	--	96	57216	бРел
14:56:10	5.96	0.01	41	24436	бРел
14:56:05	5.95	-0.01	230	136850	бТел
14:56:00	5.96	0.01	134	79864	бРел
14:55:55	5.95	-0.01	1303	775285	бТел
14:55:51	5.96	--	692	412432	бРел
14:55:45	5.96	0.01	875	521500	бРел
14:55:40	5.95	-0.01	625	371875	бТел
14:55:36	5.96	--	96	57216	бРел
14:55:30	5.96	--	95	56620	бРел
14:55:25	5.96	--	465	277140	бТел
14:55:21	5.96	--	178	106088	бТел
14:55:15	5.96	--	744	443424	бТел
14:55:10	5.96	0.01	2450	1460200	бРел
14:55:06	5.95	--	1052	625940	бТел
14:55:00	5.95	-0.01	95	56525	бТел
14:54:55	5.96	0.01	117	69732	бРел
14:54:51	5.95	--	459	273105	бТел
14:54:45	5.95	--	954	567630	бТел
14:54:40	5.95	-0.01	7	4165	бТел
14:54:36	5.96	0.01	237	141252	бРел
14:54:30	5.95	--	276	164220	бТел
14:54:25	5.95	--	58	34510	бТел
14:54:21	5.95	--	2358	1403010	бТел
14:54:15	5.95	--	434	258230	бТел
14:54:05	5.95	--	128	76160	бТел
14:54:00	5.95	--	176	104720	бТел
14:53:55	5.95	--	3519	2093805	бРел
14:53:50	5.95	0.01	427	254065	бРел
14:53:45	5.94	-0.01	33	19602	бТел
14:53:40	5.95	0.01	193	114835	бРел
14:53:35	5.94	-0.01	35	20790	бТел
14:53:30	5.95	--	391	232645	бРел
14:53:25	5.95	--	35	20825	бРел
14:53:20	5.95	0.01	33	19635	бРел
14:53:15	5.94	-0.01	590	350460	бТел
14:53:10	5.95	0.01	301	179095	бРел
14:53:00	5.94	--	552	327888	бТел
14:52:55	5.94	-0.01	247	146718	бТел
14:52:49	5.95	0.01	1716	1021020	бРел
14:52:45	5.94	-0.01	313	185922	бТел
14:52:40	5.95	0.01	594	353430	бРел
14:52:34	5.94	--	56	33264	бТел
14:52:30	5.94	--	317	188298	бТел
14:52:25	5.94	--	22	13068	бТел
14:52:19	5.94	-0.01	9	5346	бТел
14:52:15	5.95	0.01	201	119595	бРел
14:52:10	5.94	--	957	568458	бТел
14:52:04	5.94	--	204	121176	бТел
14:52:00	5.94	--	173	102762	бТел
14:51:55	5.94	--	847	503118	бРел
14:51:49	5.94	--	56	33264	бРел
14:51:45	5.94	--	597	354618	бРел
14:51:40	5.94	--	262	155628	бРел
14:51:34	5.94	--	124	73656	бРел
14:51:30	5.94	--	2570	1526580	бТел
14:51:25	5.94	--	207	122958	бТел
14:51:19	5.94	--	99	58806	бТел
14:51:15	5.94	-0.01	3081	1830114	бТел
14:51:10	5.95	0.01	15	8925	бРел
14:51:00	5.94	--	80	47520	бТел
14:50:55	5.94	-0.01	580	344520	бТел
14:50:49	5.95	--	14	8330	бРел
14:50:45	5.95	0.01	70	41650	бРел
14:50:40	5.94	--	80	47520	бТел
14:50:34	5.94	--	89	52866	бТел
14:50:30	5.94	--	50	29700	бТел
14:50:24	5.94	-0.01	74	43956	бТел
14:50:19	5.95	0.01	6	3570	бРел
14:50:15	5.94	-0.01	272	161568	бТел
14:50:09	5.95	0.02	879	523005	бРел
14:50:04	5.93	-0.01	482	285826	бТел
14:50:00	5.94	-0.01	2264	1344816	бТел
14:49:54	5.95	--	212	126140	бРел
14:49:49	5.95	--	114	67830	бРел
14:49:45	5.95	0.01	209	124355	бРел
14:49:39	5.94	--	879	522126	бТел
14:49:34	5.94	--	72	42768	бТел
14:49:30	5.94	-0.01	2666	1583604	бТел
14:49:24	5.95	0.01	396	235620	бРел
14:49:19	5.94	-0.01	272	161568	бТел
14:49:15	5.95	--	175	104125	бРел
