Ёи╫╩й╠╪Д	Ёи╫╩╪ш	╪ш╦Я╠Д╤╞	Ёи╫╩а©(йж)	Ёи╫╩╤Н(т╙)	птжй
15:00:00	7.0	--	0	0	бРел
14:59:59	7.0	0.01	269	188300	бРел
14:59:58	6.99	-0.01	802	560598	бТел
14:59:54	7.0	--	1061	742700	бРел
14:59:49	7.0	0.01	332	232400	бРел
14:59:43	6.99	--	1168	816432	бТел
14:59:39	6.99	--	368	257232	бТел
14:59:34	6.99	--	993	694107	бТел
14:59:28	6.99	-0.01	6536	4568664	бТел
14:59:24	7.0	0.01	218	152600	бРел
14:59:19	6.99	--	669	467631	бТел
14:59:13	6.99	--	1265	884235	бТел
14:59:09	6.99	--	309	215991	бТел
14:59:04	6.99	-0.01	1855	1296645	бТел
14:58:59	7.0	0.01	175	122500	бРел
14:58:53	6.99	-0.01	147	102753	бТел
14:58:49	7.0	0.01	378	264600	бРел
14:58:43	6.99	-0.01	184	128616	бТел
14:58:38	7.0	0.01	292	204400	бРел
14:58:31	6.99	--	365	255135	бТел
14:58:28	6.99	--	468	327132	бРел
14:58:24	6.99	--	1085	758415	бРел
14:58:18	6.99	-0.01	1360	950640	бТел
14:58:13	7.0	--	5593	3915100	бРел
14:58:09	7.0	0.01	4729	3310300	бРел
14:58:02	6.99	-0.01	3243	2266857	бТел
14:57:59	7.0	--	931	651700	бРел
14:57:53	7.0	0.01	1613	1129100	бРел
14:57:48	6.99	-0.01	326	227874	бТел
14:57:43	7.0	0.01	766	536200	бРел
14:57:37	6.99	--	1174	820626	бТел
14:57:33	6.99	--	788	550812	бТел
14:57:28	6.99	-0.01	10575	7391925	бТел
14:57:24	7.0	--	1909	1336300	бРел
14:57:17	7.0	0.01	168	117600	бРел
14:57:14	6.99	--	334	233466	бТел
14:57:09	6.99	--	1498	1047102	бТел
14:57:02	6.99	--	664	464136	бТел
14:56:58	6.99	0.01	3310	2313997	бРел
14:56:52	6.98	--	1804	1259192	бТел
14:56:48	6.98	--	347	242206	бТел
14:56:43	6.98	-0.01	1060	739880	бТел
14:56:37	6.99	--	938	655662	бРел
14:56:32	6.99	--	615	429885	бРел
14:56:28	6.99	--	520	363871	бТел
14:56:22	6.99	--	252	176148	бТел
14:56:17	6.99	--	55	38445	бТел
14:56:13	6.99	0.01	990	692317	бРел
14:56:07	6.98	--	530	369940	бТел
14:56:02	6.98	--	10143	7079814	бТел
14:55:58	6.98	--	557	388786	бТел
14:55:53	6.98	--	754	526292	бТел
14:55:48	6.98	--	78	54444	бТел
14:55:43	6.98	--	527	367846	бТел
14:55:37	6.98	--	834	582718	бРел
14:55:31	6.98	--	35	24430	бРел
14:55:28	6.98	--	1999	1395302	бРел
14:55:22	6.98	0.01	1047	730806	бРел
14:55:18	6.97	--	241	167977	бТел
14:55:13	6.97	--	2226	1551522	бТел
14:55:07	6.97	-0.01	2034	1417698	бТел
14:55:02	6.98	0.01	300	209400	бРел
14:54:58	6.97	-0.01	186	129642	бТел
14:54:52	6.98	--	254	177292	бРел
14:54:48	6.98	--	370	258260	бРел
14:54:43	6.98	0.01	272	189856	бРел
14:54:37	6.97	-0.01	244	170068	бТел
14:54:32	6.98	--	24	16752	бРел
14:54:28	6.98	0.01	494	344812	бРел
14:54:22	6.97	-0.01	531	370107	бТел
14:54:18	6.98	0.01	258	180084	бРел
14:54:13	6.97	--	568	395896	бТел
14:54:07	6.97	--	2116	1474852	бТел
14:54:02	6.97	--	40	27880	бТел
14:53:58	6.97	--	322	224434	бТел
14:53:52	6.97	-0.01	1829	1274813	бТел
14:53:48	6.98	0.01	288	201024	бРел
14:53:43	6.97	-0.01	551	384047	бТел
14:53:37	6.98	--	263	183574	бРел
14:53:32	6.98	0.01	143	99814	бРел
14:53:28	6.97	-0.01	3516	2450652	бТел
14:53:22	6.98	--	140	97720	бРел
14:53:18	6.98	0.01	252	175896	бРел
14:53:13	6.97	--	388	270436	бТел
14:53:07	6.97	-0.01	784	546448	бТел
14:53:02	6.98	0.01	49	34202	бРел
14:52:58	6.97	--	130	90610	бТел
14:52:53	6.97	--	559	389623	бРел
14:52:48	6.97	--	974	678878	бТел
14:52:43	6.97	--	356	248132	бРел
14:52:37	6.97	--	398	277406	бРел
14:52:32	6.97	0.01	166	115702	бРел
14:52:28	6.96	--	666	463536	бТел
14:52:22	6.96	-0.01	203	141288	бТел
14:52:17	6.97	--	361	251617	бРел
14:52:13	6.97	--	431	300407	бТел
14:52:06	6.97	--	667	464899	бРел
14:52:03	6.97	0.01	80	55760	бРел
14:51:58	6.96	-0.01	355	247080	бТел
14:51:52	6.97	--	515	358955	бРел
