Ёи╫╩й╠╪Д	Ёи╫╩╪ш	╪ш╦Я╠Д╤╞	Ёи╫╩а©(йж)	Ёи╫╩╤Н(т╙)	птжй
15:00:00	5.92	--	0	0	бТел
15:00:00	5.92	--	0	0	бТел
15:00:00	5.92	-0.01	333	197136	бТел
14:59:56	5.93	0.01	203	120379	бРел
14:59:51	5.92	-0.01	1425	843600	бТел
14:59:46	5.93	0.01	123	72939	бРел
14:59:41	5.92	--	777	459984	бТел
14:59:36	5.92	--	61	36112	бРел
14:59:31	5.92	--	60	35520	бРел
14:59:26	5.92	--	570	337440	бТел
14:59:21	5.92	--	582	344544	бТел
14:59:16	5.92	--	152	89984	бТел
14:59:11	5.92	--	205	121360	бТел
14:59:06	5.92	--	90	53280	бТел
14:59:01	5.92	0.01	456	269952	бРел
14:58:56	5.91	-0.01	314	185574	бТел
14:58:51	5.92	0.01	295	174640	бРел
14:58:46	5.91	-0.01	15	8865	бТел
14:58:41	5.92	--	2633	1558736	бРел
14:58:36	5.92	--	648	383616	бТел
14:58:31	5.92	--	23	13616	бТел
14:58:26	5.92	--	227	134384	бТел
14:58:21	5.92	--	530	313760	бТел
14:58:16	5.92	--	131	77552	бТел
14:58:11	5.92	--	1210	716320	бРел
14:58:06	5.92	0.01	631	373552	бРел
14:58:01	5.91	--	28	16548	бТел
14:57:56	5.91	-0.01	1287	760617	бТел
14:57:51	5.92	0.01	64	37888	бРел
14:57:46	5.91	-0.01	28	16548	бТел
14:57:41	5.92	--	862	510304	бРел
14:57:36	5.92	--	988	584896	бТел
14:57:31	5.92	--	119	70448	бТел
14:57:26	5.92	--	709	419728	бТел
14:57:21	5.92	--	60	35520	бТел
14:57:16	5.92	--	214	126688	бТел
14:57:11	5.92	--	1947	1152624	бРел
14:57:06	5.92	0.01	76	44992	бРел
14:56:56	5.91	--	210	124110	бТел
14:56:51	5.91	-0.01	1045	617595	бТел
14:56:46	5.92	0.01	100	59200	бРел
14:56:41	5.91	-0.01	71	41961	бТел
14:56:36	5.92	--	196	116032	бРел
14:56:30	5.92	--	120	71040	бРел
14:56:26	5.92	--	182	107744	бРел
14:56:21	5.92	0.01	219	129648	бРел
14:56:15	5.91	-0.01	12	7092	бТел
14:56:11	5.92	--	491	290672	бРел
14:56:06	5.92	0.01	3647	2159024	бРел
14:56:00	5.91	--	446	263586	бРел
14:55:56	5.91	--	564	333324	бТел
14:55:51	5.91	-0.01	430	254130	бТел
14:55:45	5.92	0.01	5	2960	бРел
14:55:41	5.91	-0.01	95	56145	жпптел
14:55:36	5.92	--	1478	874976	бРел
14:55:30	5.92	0.01	7	4144	бРел
14:55:26	5.91	-0.01	111	65601	бТел
14:55:21	5.92	0.01	3165	1873680	бРел
14:55:11	5.91	--	269	158979	бТел
14:55:06	5.91	--	162	95742	бТел
14:55:00	5.91	0.01	2660	1572060	бРел
14:54:56	5.9	--	100	59000	бТел
14:54:51	5.9	--	420	247800	бТел
14:54:45	5.9	-0.01	64	37760	бТел
14:54:41	5.91	--	18	10638	бРел
14:54:36	5.91	0.01	4110	2429010	бРел
14:54:30	5.9	-0.01	15	8850	бТел
14:54:26	5.91	0.01	126	74466	бРел
14:54:21	5.9	-0.01	25	14750	бТел
14:54:15	5.91	0.01	357	210987	бРел
14:54:10	5.9	--	12	7080	бТел
14:54:06	5.9	-0.01	170	100300	бТел
14:54:00	5.91	--	253	149523	бРел
14:53:55	5.91	0.01	101	59691	бРел
14:53:51	5.9	--	317	187030	бТел
14:53:45	5.9	--	19	11210	бТел
14:53:40	5.9	--	21	12390	бТел
14:53:35	5.9	--	1353	798523	бРел
14:53:30	5.9	--	713	420670	бРел
14:53:25	5.9	--	40	23600	бРел
14:53:20	5.9	--	468	276120	бРел
14:53:15	5.9	--	588	346920	бРел
14:53:10	5.9	--	930	548700	бРел
14:53:06	5.9	--	1005	592950	бРел
14:53:00	5.9	--	413	243670	бРел
14:52:55	5.9	--	58	34220	бРел
14:52:51	5.9	--	100	59000	бРел
14:52:45	5.9	--	488	287920	бРел
14:52:40	5.9	0.01	8	4720	бРел
14:52:35	5.89	-0.01	388	228532	бТел
14:52:30	5.9	--	263	155170	бРел
14:52:25	5.9	--	61	35990	бРел
14:52:20	5.9	--	364	214760	бРел
14:52:15	5.9	--	194	114460	бРел
14:52:10	5.9	--	6	3540	бРел
14:52:05	5.9	0.01	41	24190	бРел
14:52:00	5.89	--	43	25327	бТел
14:51:55	5.89	--	153	90117	бТел
14:51:50	5.89	-0.01	131	77159	бТел
14:51:45	5.9	--	1093	644870	бРел
14:51:40	5.9	0.01	210	123900	бРел
14:51:35	5.89	-0.01	184	108376	бТел
14:51:30	5.9	0.01	110	64900	бРел
14:51:25	5.89	-0.01	15	8835	бТел
14:51:20	5.9	--	475	280250	бРел
14:51:15	5.9	--	259	152810	бРел
14:51:10	5.9	--	183	107970	бРел
14:51:05	5.9	0.01	614	362260	бРел
14:51:00	5.89	-0.01	555	326895	бТел
14:50:55	5.9	0.01	114	67260	бРел
14:50:50	5.89	--	42	24738	бТел
14:50:45	5.89	-0.01	740	435860	бТел
14:50:40	5.9	0.01	118	69620	бРел
14:50:35	5.89	-0.01	163	96007	бТел
14:50:30	5.9	0.01	83	48970	бРел
14:50:25	5.89	--	74	43586	бТел
14:50:20	5.89	-0.01	15	8835	бТел
14:50:15	5.9	0.01	42	24780	бРел
14:50:10	5.89	-0.01	5	2945	бТел
14:50:05	5.9	--	212	125080	бРел
14:50:00	5.9	0.01	48	28320	бРел
14:49:55	5.89	-0.01	140	82460	бТел
14:49:50	5.9	0.01	207	122130	бРел
14:49:45	5.89	-0.01	67	39463	бТел
14:49:35	5.9	--	207	122130	бРел
14:49:30	5.9	--	205	120950	бРел
14:49:24	5.9	--	16	9440	бРел
14:49:20	5.9	--	525	309750	бРел
14:49:15	5.9	--	140	82600	бРел
14:49:09	5.9	0.01	21	12390	бРел
14:49:05	5.89	-0.01	48	28272	бТел
14:49:00	5.9	0.01	75	44250	бРел
14:48:54	5.89	--	20	11780	бТел
14:48:50	5.89	-0.01	198	116622	бТел
14:48:45	5.9	0.01	124	73160	бРел
14:48:39	5.89	--	40	23560	бТел
14:48:35	5.89	--	14	8246	бТел
14:48:30	5.89	--	128	75392	бТел
14:48:24	5.89	--	14	8246	бТел
14:48:20	5.89	--	46	27094	бТел
14:48:15	5.89	--	54	31806	бТел
14:48:09	5.89	-0.01	1958	1153262	бТел
14:48:05	5.9	0.01	337	198830	бРел
14:48:00	5.89	--	334	196726	бТел
14:47:54	5.89	--	29	17081	бТел
14:47:50	5.89	--	300	176700	бТел
14:47:45	5.89	--	58	34162	бТел
14:47:39	5.89	--	110	64790	бТел
14:47:35	5.89	--	290	170810	бТел
14:47:30	5.89	--	623	366947	бРел
14:47:24	5.89	--	25	14725	бРел
14:47:20	5.89	--	140	82460	бРел
14:47:15	5.89	--	350	206150	бТел
14:47:09	5.89	--	188	110732	бТел
14:47:04	5.89	--	137	80693	бТел
14:47:00	5.89	-0.01	226	133114	бТел
14:46:54	5.9	0.01	155	91450	бРел
14:46:49	5.89	0.01	61	35929	жпптел
14:46:44	5.88	-0.01	374	219912	бТел
14:46:39	5.89	--	298	175522	бРел
14:46:34	5.89	--	162	95418	бТел
14:46:29	5.89	--	462	272118	бРел
14:46:24	5.89	--	2573	1515497	бТел
14:46:19	5.89	--	11	6479	бТел
14:46:14	5.89	--	495	291555	бТел
14:46:09	5.89	0.01	1268	746852	бРел
14:46:04	5.88	-0.01	155	91140	бТел
14:45:59	5.89	0.01	120	70680	бРел
14:45:54	5.88	--	1030	605640	бТел
14:45:49	5.88	-0.01	219	128772	бТел
14:45:39	5.89	--	294	173166	бРел
14:45:34	5.89	--	54	31806	бРел
14:45:29	5.89	--	67	39463	бРел
14:45:24	5.89	--	110	64790	бРел
14:45:19	5.89	--	101	59489	бРел
14:45:14	5.89	--	549	323361	бТел
14:45:09	5.89	--	506	298034	бТел
14:45:04	5.89	--	32	18848	бТел
14:44:59	5.89	--	826	486514	бТел
14:44:54	5.89	--	91	53599	бТел
14:44:49	5.89	-0.01	551	324539	бТел
14:44:44	5.9	0.01	119	70210	бРел
14:44:39	5.89	-0.01	79	46531	бТел
