Ёи╫╩й╠╪Д	Ёи╫╩╪ш	╪ш╦Я╠Д╤╞	Ёи╫╩а©(йж)	Ёи╫╩╤Н(т╙)	птжй
15:00:00	7.15	--	0	0	бРел
14:59:59	7.15	--	0	0	бРел
14:59:59	7.15	0.01	1959	1400685	бРел
14:59:53	7.14	--	2826	2017764	бТел
14:59:50	7.14	-0.01	357	254898	бТел
14:59:44	7.15	--	848	606320	бРел
14:59:38	7.15	--	609	435435	бРел
14:59:34	7.15	0.01	377	269555	бРел
14:59:29	7.14	-0.01	5409	3862026	бТел
14:59:24	7.15	--	1105	790075	бРел
14:59:19	7.15	0.01	478	341770	бРел
14:59:14	7.14	-0.02	2044	1459858	бТел
14:59:08	7.16	0.01	907	649412	бРел
14:59:02	7.15	--	2069	1479606	бРел
14:58:58	7.15	--	1448	1035320	бРел
14:58:53	7.15	--	3567	2550405	бРел
14:58:47	7.15	--	4291	3068065	бРел
14:58:43	7.15	--	876	626340	бРел
14:58:38	7.15	--	2350	1680250	бРел
14:58:32	7.15	--	1942	1388530	бРел
14:58:29	7.15	0.01	206	147290	бРел
14:58:24	7.14	-0.01	2465	1760010	бТел
14:58:17	7.15	--	1804	1289860	бРел
14:58:14	7.15	--	1900	1358500	бРел
14:58:09	7.15	0.01	459	328185	бРел
14:58:02	7.14	-0.01	537	383418	бТел
14:57:59	7.15	--	1743	1246245	бРел
14:57:53	7.15	0.01	3028	2165020	бРел
14:57:48	7.14	--	2278	1626492	бТел
14:57:44	7.14	-0.01	2028	1447992	бТел
14:57:38	7.15	--	1694	1211210	бРел
14:57:33	7.15	--	3988	2851420	бРел
14:57:28	7.15	--	672	480480	бРел
14:57:23	7.15	--	3712	2654223	бТел
14:57:17	7.15	--	1609	1151007	бРел
14:57:13	7.15	--	532	380380	бРел
14:57:08	7.15	0.01	2001	1430715	бРел
14:57:02	7.14	-0.01	821	586194	бТел
14:56:58	7.15	--	432	308880	бРел
14:56:54	7.15	--	964	689260	бРел
14:56:47	7.15	--	853	609895	бРел
14:56:42	7.15	--	414	296010	бРел
14:56:38	7.15	0.01	588	420420	бРел
14:56:32	7.14	-0.01	928	662592	бТел
14:56:28	7.15	--	237	169455	бРел
14:56:23	7.15	--	1185	847275	бРел
14:56:18	7.15	0.01	1683	1203345	бРел
14:56:13	7.14	-0.01	498	355572	бТел
14:56:08	7.15	0.01	1106	790790	бРел
14:56:02	7.14	-0.01	1991	1421574	бТел
14:55:58	7.15	--	194	138710	бРел
14:55:53	7.15	0.01	1150	822250	бРел
14:55:47	7.14	--	1202	858228	бТел
14:55:43	7.14	-0.01	205	146370	бТел
14:55:38	7.15	--	981	701415	бРел
14:55:32	7.15	0.01	260	185900	бРел
14:55:28	7.14	--	423	302022	бТел
14:55:23	7.14	--	539	384846	бРел
14:55:17	7.14	--	783	559062	бРел
14:55:13	7.14	--	844	602616	бРел
14:55:08	7.14	--	1323	944622	бРел
14:55:02	7.14	--	1654	1180956	бРел
14:54:59	7.14	--	418	298452	бРел
14:54:53	7.14	--	858	612612	бРел
14:54:47	7.14	--	824	588336	бРел
14:54:43	7.14	--	183	130662	бРел
14:54:38	7.14	--	816	583166	бРел
14:54:32	7.14	--	1003	716142	бРел
14:54:28	7.14	--	396	282744	бРел
14:54:23	7.14	--	1641	1171674	бРел
14:54:17	7.14	0.01	501	357714	бРел
14:54:13	7.13	-0.01	471	335823	бТел
14:54:08	7.14	0.01	1325	946706	бРел
14:54:02	7.13	--	766	546158	бТел
14:53:58	7.13	-0.01	236	168268	бТел
14:53:53	7.14	0.01	1069	763266	бРел
14:53:47	7.13	--	375	267375	бТел
14:53:43	7.13	--	206	146878	бТел
14:53:38	7.13	--	639	456262	бТел
14:53:32	7.13	--	1625	1158810	бРел
14:53:28	7.13	--	490	349370	бРел
14:53:23	7.13	0.01	1419	1011747	бРел
14:53:17	7.12	-0.01	4515	3215206	бТел
14:53:13	7.13	--	326	232438	бТел
14:53:08	7.13	--	710	506885	бТел
14:53:03	7.13	--	2146	1530340	бРел
14:52:58	7.13	--	1290	919770	бРел
14:52:53	7.13	0.01	2517	1794621	бРел
14:52:47	7.12	-0.01	1262	898544	бТел
14:52:43	7.13	--	1455	1037415	бРел
14:52:38	7.13	--	2416	1722608	бТел
14:52:32	7.13	--	2360	1682680	бТел
14:52:26	7.13	--	575	409975	бТел
14:52:22	7.13	--	1745	1244185	бТел
14:52:18	7.13	--	2269	1617797	бТел
14:52:11	7.13	--	903	643839	бТел
14:52:07	7.13	--	654	466957	бТел
14:52:02	7.13	--	552	393576	бТел
